,Gender,12percentage,CollegeTier,Degree,Specialization,collegeGPA,CollegeState,Salary
0,0,84.0,1,0,14,73.82,4,445000
1,1,64.5,2,0,4,65.0,23,110000
2,1,85.17,2,0,7,61.94,14,255000
3,1,86.0,1,0,4,80.4,4,420000
4,0,75.0,2,0,0,64.3,20,200000
5,0,77.0,1,2,14,99.93,17,440000
6,0,53.2,2,0,15,68.0,25,150000
7,0,88.0,2,0,4,71.0,21,105000
8,1,87.7,2,0,13,73.15,0,195000
9,0,73.0,2,0,4,70.08,23,200000
10,1,75.0,2,0,7,62.0,14,335000
11,1,79.9,2,0,14,67.67,23,300000
12,0,88.0,2,0,13,85.0,7,480000
13,0,82.1,2,0,4,85.0,21,550000
14,1,86.2,2,0,8,81.4,25,325000
15,1,77.0,2,0,13,75.2,11,405000
16,1,75.8,2,0,3,78.7,16,500000
17,0,89.0,2,0,4,73.9,23,210000
18,1,54.0,2,0,4,66.0,14,400000
19,1,68.67,2,0,4,76.0,20,360000
20,1,50.0,2,0,4,69.94,16,240000
21,0,64.8,2,3,2,80.0,7,120000
22,1,59.0,2,0,13,63.0,11,430000
23,1,64.0,2,0,8,70.0,7,120000
24,0,70.67,2,0,3,55.5,14,120000
25,0,61.0,2,0,4,75.0,3,120000
26,1,71.0,2,0,13,61.0,18,600000
27,1,78.6,1,0,3,73.34,18,500000
28,1,75.0,2,0,15,73.0,23,240000
29,1,68.2,2,0,8,76.5,17,200000
30,1,80.4,2,0,13,64.29,23,80000
31,1,81.0,2,0,4,76.7,25,330000
32,0,74.0,2,0,13,71.0,23,450000
33,1,60.66,1,3,2,77.5,17,240000
34,1,82.0,2,0,8,81.0,11,325000
35,1,69.17,2,0,16,60.34,14,215000
36,1,85.0,2,0,13,75.0,20,315000
37,1,65.72,2,0,4,60.0,0,220000
38,1,62.0,2,0,4,75.0,23,180000
39,1,61.0,2,3,2,85.0,16,240000
40,1,76.0,2,0,13,74.0,25,60000
41,1,83.0,2,0,3,71.0,18,165000
42,1,47.6,2,3,2,63.0,11,180000
43,1,66.8,2,3,2,69.7,17,150000
44,1,80.8,2,0,8,72.45,23,370000
45,1,66.4,2,0,5,66.0,23,145000
46,1,58.4,2,0,16,76.5,16,100000
47,1,62.0,2,3,2,72.02,23,300000
48,1,64.0,2,0,13,73.0,14,240000
49,1,81.0,2,0,9,64.0,23,500000
50,1,69.0,2,0,8,75.0,11,300000
51,1,65.4,1,0,4,67.72,23,300000
52,1,68.4,1,0,9,60.4,23,510000
53,0,89.0,2,0,13,83.0,20,150000
54,1,66.0,2,0,13,60.62,23,240000
55,1,78.6,2,0,8,64.45,7,145000
56,1,60.0,2,0,4,68.74,23,240000
57,1,80.2,2,0,4,82.0,25,310000
58,1,66.0,2,0,3,65.55,13,450000
59,1,86.1,2,3,2,76.0,0,380000
60,0,86.5,2,0,8,80.2,11,300000
61,1,89.9,2,0,3,73.21,0,300000
62,1,83.0,2,0,8,77.72,21,200000
63,1,63.2,2,0,8,63.3,16,170000
64,0,68.0,2,0,4,81.4,25,95000
65,1,61.0,2,0,4,72.04,23,335000
66,1,63.0,2,0,4,72.0,7,110000
67,1,90.91,2,0,8,83.2,20,450000
68,0,75.33,2,0,4,68.69,11,200000
69,1,64.0,2,0,4,67.0,23,310000
70,1,75.0,2,0,15,65.42,21,200000
71,1,74.0,2,0,12,57.0,11,240000
72,0,88.6,2,0,3,69.55,0,300000
73,1,84.0,2,0,15,87.2,20,75000
74,1,60.0,2,0,3,64.3,13,330000
75,1,87.1,2,0,13,65.0,21,140000
76,1,73.4,2,0,4,70.06,25,320000
77,1,72.0,2,0,15,64.0,13,1210000
78,1,87.69,1,0,16,79.65,24,700000
79,1,73.33,2,0,4,71.97,23,120000
80,1,66.0,2,0,13,69.2,23,200000
81,1,79.87,2,0,3,71.07,11,315000
82,1,84.67,2,0,9,70.0,11,305000
83,1,75.4,2,0,8,68.56,23,335000
84,1,58.0,2,0,8,70.1,16,410000
85,0,74.0,1,0,4,76.24,4,200000
86,1,91.1,2,0,8,68.2,21,315000
87,1,72.0,2,0,4,63.2,20,120000
88,0,96.6,2,0,8,83.0,21,310000
89,1,68.0,1,0,9,72.3,7,375000
90,1,54.2,2,0,16,66.93,23,240000
91,1,60.0,2,0,4,63.0,21,295000
92,1,62.3,2,0,15,61.0,16,360000
93,0,73.0,2,0,8,61.8,11,260000
94,1,62.0,2,0,4,70.68,23,180000
95,1,78.0,2,0,4,75.03,25,100000
96,0,83.2,2,0,4,71.1,23,160000
97,1,61.7,2,3,2,79.0,25,310000
98,1,66.8,2,0,8,68.9,13,80000
99,1,75.6,2,0,4,81.5,25,325000
100,0,94.1,2,0,13,70.95,21,400000
101,1,75.6,2,0,15,82.53,11,475000
102,1,88.0,2,0,13,69.8,20,180000
103,0,78.2,2,0,8,77.25,23,250000
104,1,64.0,2,3,2,72.0,24,150000
105,1,73.6,2,3,2,85.2,16,100000
106,1,82.5,2,0,13,61.86,14,300000
107,1,68.83,2,0,13,55.6,14,465000
108,1,63.0,2,0,8,61.0,23,200000
109,1,61.0,2,0,16,63.0,24,360000
110,1,73.8,2,0,8,77.0,17,400000
111,1,90.6,2,0,8,68.4,21,720000
112,1,91.0,2,0,13,73.06,23,505000
113,0,68.0,2,0,3,68.0,18,380000
114,0,72.2,2,0,4,69.78,4,375000
115,1,85.0,2,0,8,67.45,6,290000
116,1,72.3,2,0,4,68.0,4,350000
117,1,48.0,2,3,2,59.0,23,100000
118,1,65.66,2,3,2,77.7,23,230000
119,1,75.0,2,0,13,65.48,23,315000
120,1,91.2,2,0,8,86.0,25,615000
121,1,79.3,2,0,4,65.7,21,200000
122,1,62.0,2,0,13,62.44,23,180000
123,1,63.0,2,0,15,63.0,21,260000
124,1,68.2,2,0,13,80.0,23,1110000
125,1,71.8,2,0,9,64.5,23,170000
126,1,77.2,2,0,13,80.0,6,180000
127,1,85.6,1,0,8,72.7,4,340000
128,1,55.0,2,0,3,66.0,18,145000
129,1,57.0,2,0,13,65.06,23,120000
130,0,86.25,2,0,8,76.0,20,180000
131,1,76.0,1,0,8,72.5,4,325000
132,1,64.33,2,0,15,72.02,14,95000
133,1,84.6,2,0,15,83.5,24,205000
134,0,82.6,2,0,4,64.66,14,280000
135,1,74.92,2,0,3,61.36,18,215000
136,1,95.5,2,0,8,83.62,21,200000
137,1,81.6,2,0,4,67.8,13,350000
138,1,60.0,2,0,3,63.33,14,190000
139,1,63.0,2,0,13,68.1,23,520000
140,1,64.0,2,0,8,53.0,11,335000
141,1,60.0,2,0,3,64.0,20,220000
142,1,79.4,1,0,6,67.23,23,450000
143,1,68.0,2,0,8,68.3,11,445000
144,1,95.2,2,0,13,69.96,21,200000
145,1,78.0,2,0,8,87.9,17,420000
146,1,81.5,2,0,4,74.0,0,100000
147,1,59.0,2,0,13,58.66,14,120000
148,1,79.0,2,0,7,70.0,14,315000
149,0,83.8,2,0,3,70.0,7,480000
150,1,89.0,2,0,4,62.0,21,145000
151,1,83.0,2,0,13,74.5,4,450000
152,0,80.0,2,0,8,76.0,20,235000
153,1,83.8,2,0,8,76.4,4,330000
154,1,60.0,2,0,13,80.0,17,320000
155,1,73.8,2,0,3,70.13,23,715000
156,1,55.0,2,2,4,88.0,17,145000
157,1,81.0,2,0,9,79.2,7,180000
158,0,65.2,2,0,3,72.18,13,180000
159,1,81.2,2,0,13,69.0,23,75000
160,0,74.6,2,0,3,71.2,7,280000
161,0,82.8,2,0,3,73.0,23,390000
162,1,71.0,2,0,15,71.0,23,325000
163,1,94.3,2,0,8,84.0,0,300000
164,0,90.2,2,0,4,74.0,10,450000
165,1,83.8,2,0,13,77.0,8,505000
166,1,79.0,2,0,8,75.0,20,240000
167,1,50.0,2,3,2,73.14,11,240000
168,1,82.0,2,0,13,71.0,20,200000
169,1,74.44,2,0,4,73.38,23,450000
170,1,85.8,2,0,8,77.7,23,335000
171,0,78.0,2,0,3,73.14,23,310000
172,0,83.0,1,0,0,71.0,13,450000
173,1,83.0,1,0,13,72.13,4,600000
174,1,76.66,1,0,16,72.0,16,335000
175,1,77.0,2,0,8,70.45,11,150000
176,1,63.8,2,3,2,79.6,10,180000
177,1,73.0,2,0,13,61.6,23,360000
178,1,68.0,2,0,3,74.9,25,180000
179,0,88.2,2,0,8,72.3,23,180000
180,1,69.4,2,0,13,73.8,3,240000
181,1,87.2,2,0,4,79.95,4,350000
182,1,80.58,2,0,8,61.0,20,400000
183,1,64.5,2,0,15,60.05,23,150000
184,1,81.2,1,0,4,73.0,2,150000
185,0,79.4,2,0,3,76.76,23,455000
186,1,69.0,2,0,8,84.1,25,240000
187,1,75.0,2,0,5,71.56,18,350000
188,0,94.16,2,0,13,89.2,20,385000
189,1,82.46,2,0,15,73.83,18,440000
190,1,79.16,2,3,2,86.0,20,380000
191,1,81.0,2,0,8,76.03,13,420000
192,0,94.8,2,0,8,77.33,21,360000
193,1,78.0,2,0,9,70.6,23,320000
194,1,65.0,2,0,3,67.63,14,355000
195,1,74.6,2,0,4,57.5,17,180000
196,1,77.33,2,0,9,75.67,11,490000
197,1,45.6,2,3,2,69.7,23,300000
198,1,68.5,2,0,13,69.9,13,2000000
199,1,85.6,2,2,4,80.0,21,120000
200,0,63.4,2,0,5,69.97,25,240000
201,1,80.8,2,0,4,70.0,7,325000
202,1,63.8,2,0,4,66.0,18,100000
203,1,58.6,2,0,13,66.6,13,180000
204,1,66.66,2,0,15,65.0,17,250000
205,1,78.83,1,0,16,73.0,16,300000
206,1,63.0,2,0,7,65.0,16,220000
207,1,84.8,1,0,3,66.23,14,1500000
208,0,77.0,2,0,15,70.66,23,275000
209,1,84.5,2,0,4,72.3,11,500000
210,1,75.6,2,0,8,61.9,7,510000
211,1,76.0,2,0,15,63.0,14,185000
212,1,72.0,2,0,13,70.5,24,490000
213,1,83.0,1,0,8,91.0,13,300000
214,1,77.0,2,0,8,79.67,24,410000
215,1,57.8,2,0,3,58.0,11,225000
216,1,72.6,2,2,8,64.95,11,100000
217,0,66.0,2,0,15,78.0,16,330000
218,1,81.0,2,0,8,72.0,20,300000
219,1,82.0,2,0,8,70.6,7,325000
220,1,76.6,2,0,8,67.6,11,310000
221,1,81.0,2,0,16,67.1,21,120000
222,1,64.33,2,2,4,70.0,14,525000
223,1,58.55,2,0,12,55.9,11,230000
224,1,76.0,2,0,9,78.0,20,300000
225,0,90.6,2,0,4,70.4,0,305000
226,1,76.7,2,0,15,67.66,0,205000
227,0,84.63,2,0,3,78.15,11,320000
228,1,77.4,1,0,9,70.0,23,510000
229,0,72.5,2,0,9,66.43,11,205000
230,1,67.17,2,0,7,60.14,14,140000
231,1,76.4,2,0,15,72.3,23,360000
232,0,92.3,2,0,8,78.07,21,375000
233,1,43.0,2,3,2,62.0,14,180000
234,1,69.0,2,0,4,66.0,7,195000
235,1,74.0,2,0,13,69.2,20,310000
236,1,72.8,2,0,8,71.77,21,325000
237,0,67.6,2,0,4,65.72,7,275000
238,1,59.2,2,0,8,65.0,23,375000
239,0,92.0,2,0,3,77.96,21,515000
240,0,77.0,2,0,13,82.9,17,380000
241,1,57.83,2,0,3,49.07,14,350000
242,0,86.0,2,0,13,86.0,14,265000
243,0,85.0,2,0,6,70.0,20,325000
244,1,86.5,2,0,11,68.87,14,380000
245,1,69.6,2,0,13,71.7,23,340000
246,1,64.0,2,0,7,56.43,14,280000
247,1,80.4,1,0,13,74.0,4,410000
248,1,88.0,2,0,9,72.5,21,300000
249,0,97.0,2,0,8,80.5,0,395000
250,1,94.5,2,0,8,69.06,20,90000
